Timestamp,ContainerID,ContainerType,NodeID,SchedulingLatency(ms),Success,ResourceUtilization
2025-05-17T06:49:56Z,container-1747464590508072950,search,node-1747464590257558938,0.043,true,0.494
2025-05-17T06:49:58Z,container-1747464596232580256,search,node-1747464590273796523,0.007,true,0.388
2025-05-17T06:50:01Z,container-1747464598986106699,search,node-1747464590257558938,0.136,true,0.461
2025-05-17T06:50:04Z,container-1747464601603478283,cache,node-1747464590273796523,0.026,true,0.164
2025-05-17T06:50:07Z,container-1747464604326718909,cache,node-1747464590273796523,0.014,true,0.111
2025-05-17T06:50:10Z,container-1747464607427322602,cache,node-1747464590273796523,0.009,true,0.122
2025-05-17T06:50:12Z,container-1747464610526268172,web,node-1747464590273796523,0.008,false,0.000
2025-05-17T06:50:14Z,container-1747464612633426929,search,node-1747464590257558938,0.007,false,0.000
2025-05-17T06:50:17Z,container-1747464614786269725,web,node-1747464590257558938,0.004,false,0.000
2025-05-17T06:50:21Z,container-1747464617169425427,search,node-1747464590257558938,0.039,true,0.351
2025-05-17T06:50:24Z,container-1747464621472629846,batch,node-1747464590257558938,0.011,true,0.154
2025-05-17T06:50:26Z,container-1747464624349953097,web,node-1747464590257558938,0.011,false,0.000
2025-05-17T06:50:29Z,container-1747464626503711898,cache,node-1747464590257558938,0.010,true,0.172
2025-05-17T06:50:32Z,container-1747464629578649246,web,node-1747464590257558938,0.008,false,0.000
2025-05-17T06:50:34Z,container-1747464632086793646,search,node-1747464590257558938,0.008,true,0.336
2025-05-17T06:50:37Z,container-1747464634978973875,compute,node-1747464590273796523,0.010,true,0.428
2025-05-17T06:50:40Z,container-1747464637671942961,cache,node-1747464590257558938,0.006,true,0.115
2025-05-17T06:50:43Z,container-1747464640783667961,batch,node-1747464590310001195,0.008,true,0.217
2025-05-17T06:50:46Z,container-1747464643470512579,database,node-1747464590257558938,0.011,true,0.421
2025-05-17T06:50:49Z,container-1747464646334351057,cache,node-1747464590273796523,0.008,true,0.195
2025-05-17T06:50:51Z,container-1747464649029188840,web,node-1747464590273796523,0.007,true,0.119
2025-05-17T06:50:54Z,container-1747464651828184083,batch,node-1747464590310001195,0.006,true,0.179
2025-05-17T06:50:57Z,container-1747464654375569008,batch,node-1747464590325241446,0.006,true,0.220
2025-05-17T06:50:59Z,container-1747464657043355788,web,node-1747464590325241446,0.009,true,0.052
2025-05-17T06:51:02Z,container-1747464659836237771,database,node-1747464590325241446,0.007,true,0.213
2025-05-17T06:51:04Z,container-1747464662436610933,cache,node-1747464590325241446,0.010,false,0.000
2025-05-17T06:51:07Z,container-1747464664576102609,web,node-1747464590257558938,0.005,true,0.156
2025-05-17T06:51:09Z,container-1747464667561041826,batch,node-1747464590310001195,0.023,false,0.000
2025-05-17T06:51:12Z,container-1747464669742035635,web,node-1747464590257558938,0.008,true,0.077
2025-05-17T06:51:16Z,container-1747464672790265941,web,node-1747464590257558938,0.011,false,0.000
2025-05-17T06:51:19Z,container-1747464676102890387,batch,node-1747464590257558938,0.025,true,0.200
2025-05-17T06:51:23Z,container-1747464679938689802,cache,node-1747464590257558938,0.007,true,0.128
2025-05-17T06:51:26Z,container-1747464683470263310,web,node-1747464590257558938,0.009,true,0.106
2025-05-17T06:51:28Z,container-1747464686043816734,cache,node-1747464590257558938,0.006,true,0.160
2025-05-17T06:51:31Z,container-1747464688657674842,search,node-1747464590273796523,0.031,true,0.411
2025-05-17T06:51:33Z,container-1747464691647003754,web,node-1747464590273796523,0.020,false,0.000
2025-05-17T06:51:37Z,container-1747464693780957459,search,node-1747464590257558938,0.007,true,0.495
2025-05-17T06:51:40Z,container-1747464697023540142,batch,node-1747464590273796523,0.009,true,0.239
2025-05-17T06:51:42Z,container-1747464700156257316,cache,node-1747464590273796523,0.008,false,0.000
2025-05-17T06:51:44Z,container-1747464702405550150,web,node-1747464590257558938,0.010,true,0.165
2025-05-17T06:51:47Z,container-1747464704950894806,cache,node-1747464590257558938,0.011,true,0.164
2025-05-17T06:51:50Z,container-1747464707501274370,web,node-1747464590257558938,0.009,true,0.148
2025-05-17T06:51:53Z,container-1747464710445740109,batch,node-1747464590257558938,0.009,true,0.218
2025-05-17T06:51:56Z,container-1747464713571798294,cache,node-1747464590257558938,0.009,true,0.156
2025-05-17T06:51:59Z,container-1747464716816102798,search,node-1747464590273796523,0.016,true,0.530
2025-05-17T06:52:02Z,container-1747464719472517147,web,node-1747464590257558938,0.007,false,0.000
2025-05-17T06:52:33Z,container-1747464722330648882,search,node-1747464590257558938,0.007,false,0.000
2025-05-17T06:52:36Z,container-1747464753731731746,web,node-1747464590257558938,0.183,true,0.187
2025-05-17T06:52:39Z,container-1747464756940796899,cache,node-1747464590257558938,0.038,false,0.000
2025-05-17T06:52:43Z,container-1747464759676884656,search,node-1747464590257558938,0.006,true,0.318
2025-05-17T06:52:45Z,container-1747464763052048311,web,node-1747464590257558938,0.009,true,0.177
2025-05-17T06:52:48Z,container-1747464765902438957,service,node-1747464590257558938,0.009,true,0.115
2025-05-17T06:52:51Z,container-1747464768572229280,web,node-1747464590257558938,0.010,true,0.093
2025-05-17T06:52:53Z,container-1747464771391381402,web,node-1747464590257558938,0.010,true,0.175
2025-05-17T06:52:57Z,container-1747464773892387354,web,node-1747464590257558938,0.014,true,0.154
2025-05-17T06:52:59Z,container-1747464777238070738,batch,node-1747464590273796523,0.009,true,0.316
2025-05-17T06:53:02Z,container-1747464779906230588,batch,node-1747464590257558938,0.009,true,0.267
